Found code='010111', sum value=310798.04
Found code='010121', sum value=0
Found code='010131', sum value=0
Found code='010141', sum value=0
Found code='020211', sum value=0
Found code='020511', sum value=0
Found code='020521', sum value=0
Found code='02081', sum value=0
Found code='02091', sum value=0
Found code='020531', sum value=0
Found code='05511', sum value=15000
Found code='05601', sum value=5700
Found code='05801', sum value=2812.5
Found code='02022', sum value=0
Found code='02023', sum value=0
Found code='101111', sum value=0
Found code='101211', sum value=0
Found code='101311', sum value=0
Found code='101411', sum value=0
Found code='101521', sum value=542.41
Found code='101611', sum value=14219.93
Found code='10200121', sum value=0
Found code='10200221', sum value=1405.24
Found code='10200311', sum value=0
Found code='102006', sum value=0
Found code='102007', sum value=0
Found code='1020081', sum value=0
Found code='10200911', sum value=0
Found code='10201011', sum value=20509.33
Found code='102011', sum value=0
Found code='1030111', sum value=70.05
Found code='1030211', sum value=0
Found code='1030311', sum value=6.3
Found code='105111', sum value=610.37
Found code='105211', sum value=0
Found code='10531', sum value=0
Found code='106211', sum value=0
Found code='109211', sum value=0
Found code='10980111', sum value=0
Found code='10980211', sum value=245.49
Found code='1901111', sum value=226.6
Found code='198111', sum value=-9.97
Found code='46001', sum value=0
Found code='109803', sum value=0
Found code='010112', sum value=846922.52
Found code='010122', sum value=0
Found code='010132', sum value=0
Found code='010142', sum value=2587.37
Found code='020212', sum value=0
Found code='020512', sum value=0
Found code='020522', sum value=0
Found code='020532', sum value=0
Found code='02082', sum value=1019.58
Found code='02092', sum value=5705
Found code='05512', sum value=140304.01
Found code='05602', sum value=55764.82
Found code='05802', sum value=32697.81
Found code='101112', sum value=0
Found code='101212', sum value=0
Found code='101312', sum value=0
Found code='101412', sum value=2236.9
Found code='101522', sum value=5652.44
Found code='101612', sum value=148186.68
Found code='10200122', sum value=0
Found code='10200222', sum value=14644.09
Found code='10200312', sum value=0
Found code='1020082', sum value=0
Found code='10200912', sum value=0
Found code='10201012', sum value=213728.77
Found code='102011', sum value=0
Found code='1030112', sum value=729.95
Found code='1030212', sum value=0
Found code='1030312', sum value=65.7
Found code='105112', sum value=1760
Found code='105212', sum value=0
Found code='106212', sum value=0
Found code='109212', sum value=1000
Found code='10980112', sum value=0
Found code='10980212', sum value=2558.27
Found code='190112', sum value=2361.4
Found code='198112', sum value=-103.85
Found code='51001', sum value=0
Found code='5202', sum value=0
Found code='5400', sum value=0
Found code='51002', sum value=793.72
Found code='52032', sum value=0
Found code='52041', sum value=0
Found code='52051', sum value=0
Found code='52061', sum value=0
Found code='52191', sum value=0
Found code='10151', sum value=0
Found code='1020021', sum value=934.04
Found code='102004', sum value=41525.68
Found code='102005', sum value=0
Found code='1069', sum value=1.96
Found code='1020104', sum value=0
Found code='5201', sum value=441624
Found code='52031', sum value=25200
Found code='5301', sum value=12000
Found code='5309', sum value=0
Found code='2600', sum value=95492.3
Found code='2400', sum value=23631.19
Found code='2404', sum value=0
Found code='2405', sum value=23188.79
Found code='2408', sum value=442.4
Found code='2419', sum value=0
Found code='2802', sum value=1962.39
Found code='2801', sum value=127810.14
Found code='2802', sum value=1962.39
Not found code='36'
Found code='3601', sum value=0
Found code='3611', sum value=6264.01
Found code='3612', sum value=0
Found code='3619', sum value=248654.15
Not found code='37'
Found code='3701', sum value=-2799.61
Found code='3702', sum value=0
Found code='3709', sum value=0
Found code='4501', sum value=0
Found code='4501', sum value=0
