Found code='010111', sum value=0
Found code='010121', sum value=0
Found code='010131', sum value=0
Found code='010141', sum value=0
Found code='020211', sum value=0
Found code='020511', sum value=0
Found code='020521', sum value=0
Found code='02081', sum value=0
Found code='02091', sum value=0
Found code='020531', sum value=0
Found code='05511', sum value=0
Found code='05601', sum value=0
Found code='05801', sum value=0
Found code='02022', sum value=0
Found code='02023', sum value=0
Found code='101111', sum value=0
Found code='101211', sum value=0
Found code='101311', sum value=0
Found code='101411', sum value=0
Found code='101521', sum value=0
Found code='101611', sum value=0
Found code='10200121', sum value=0
Found code='10200221', sum value=0
Found code='10200311', sum value=0
Found code='102006', sum value=0
Found code='102007', sum value=0
Found code='1020081', sum value=0
Found code='10200911', sum value=0
Found code='10201011', sum value=0
Found code='102011', sum value=0
Found code='1030111', sum value=0
Found code='1030211', sum value=0
Found code='1030311', sum value=0
Found code='105111', sum value=0
Found code='105211', sum value=0
Found code='10531', sum value=0
Found code='106211', sum value=0
Found code='109211', sum value=0
Found code='10980111', sum value=0
Found code='10980211', sum value=0
Found code='1901111', sum value=0
Found code='198111', sum value=0
Found code='46001', sum value=0
Found code='109803', sum value=0
Found code='010112', sum value=0
Found code='010122', sum value=0
Found code='010132', sum value=0
Found code='010142', sum value=0
Found code='020212', sum value=0
Found code='020512', sum value=0
Found code='020522', sum value=0
Found code='020532', sum value=0
Found code='02082', sum value=0
Found code='02092', sum value=0
Found code='05512', sum value=0
Found code='05602', sum value=0
Found code='05802', sum value=0
Found code='101112', sum value=0
Found code='101212', sum value=0
Found code='101312', sum value=0
Found code='101412', sum value=0
Found code='101522', sum value=0
Found code='101612', sum value=0
Found code='10200122', sum value=0
Found code='10200222', sum value=0
Found code='10200312', sum value=0
Found code='1020082', sum value=0
Found code='10200912', sum value=0
Found code='10201012', sum value=0
Found code='102011', sum value=0
Found code='1030212', sum value=0
Found code='1030312', sum value=0
Found code='105112', sum value=0
Found code='105212', sum value=0
Found code='106212', sum value=0
Found code='109212', sum value=0
Found code='10980112', sum value=0
Found code='10980212', sum value=0
Found code='190112', sum value=0
Found code='198112', sum value=0
Found code='1030112', sum value=0
Found code='10532', sum value=0
Found code='51002', sum value=0
Found code='52032', sum value=0
Found code='52041', sum value=0
Found code='52051', sum value=0
Found code='52061', sum value=0
Found code='52191', sum value=0
Found code='010113', sum value=5796.23
Found code='010123', sum value=0
Found code='010133', sum value=0
Found code='010143', sum value=0
Found code='020513', sum value=0
Found code='020523', sum value=0
Found code='020533', sum value=0
Found code='02083', sum value=0
Found code='02093', sum value=0
Found code='05513', sum value=1265.72
Found code='05603', sum value=463.7
Found code='05803', sum value=183.34
Found code='10112', sum value=0
Found code='10122', sum value=0
Found code='10132', sum value=0
Found code='10142', sum value=0
Found code='10153', sum value=0
Found code='10162', sum value=665.05
Found code='1020013', sum value=0
Found code='1020023', sum value=0
Found code='1020032', sum value=0
Found code='1020092', sum value=0
Found code='103012', sum value=0
Found code='103022', sum value=0
Found code='103032', sum value=0
Found code='10512', sum value=0
Found code='10522', sum value=0
Found code='10622', sum value=0
Found code='10922', sum value=0
Found code='1098012', sum value=0
Found code='1098022', sum value=0
Found code='19012', sum value=0
Found code='19812', sum value=0
Found code='1020102', sum value=56
Found code='51004', sum value=0
Found code='52033', sum value=0
Found code='52042', sum value=0
Found code='52052', sum value=0
Found code='52062', sum value=0
Found code='52192', sum value=0
